frontier00117: ofi+cxi://0x006ee200
frontier00255: ofi+cxi://0x007e8400
frontier00376: ofi+cxi://0x008fc200
frontier00507: ofi+cxi://0x009e8000
frontier00633: ofi+cxi://0x00aea000
frontier00760: ofi+cxi://0x00bfc200
frontier00872: ofi+cxi://0x00cdc200
frontier00892: ofi+cxi://0x00cf8000
frontier01002: ofi+cxi://0x00dda000
frontier01016: ofi+cxi://0x00dfc200
frontier01134: ofi+cxi://0x00eda400
frontier01144: ofi+cxi://0x00efc200
frontier01272: ofi+cxi://0x00ffc200
frontier01408: ofi+cxi://0x010f8400
frontier01522: ofi+cxi://0x011fe600
frontier01647: ofi+cxi://0x012c8400
frontier01773: ofi+cxi://0x013ca400
frontier01903: ofi+cxi://0x014c8400
frontier02037: ofi+cxi://0x015ee200
frontier02159: ofi+cxi://0x016c8400
frontier02283: ofi+cxi://0x017c8000
frontier02411: ofi+cxi://0x018c8000
frontier02541: ofi+cxi://0x019ca400
frontier02668: ofi+cxi://0x01ad8000
frontier02814: ofi+cxi://0x01bfa400
frontier02929: ofi+cxi://0x01cee600
frontier03061: ofi+cxi://0x01dee200
frontier03186: ofi+cxi://0x01efe600
frontier03455: ofi+cxi://0x020e8400
frontier03574: ofi+cxi://0x021fe200
frontier03696: ofi+cxi://0x022d8400
frontier03822: ofi+cxi://0x023da400
frontier03953: ofi+cxi://0x024ee600
frontier04079: ofi+cxi://0x025c8400
frontier04213: ofi+cxi://0x026ee200
frontier04343: ofi+cxi://0x027ec200
frontier04462: ofi+cxi://0x028da400
frontier04588: ofi+cxi://0x029d8000
frontier04722: ofi+cxi://0x02afe600
frontier04834: ofi+cxi://0x02bde600
frontier04963: ofi+cxi://0x02ccc600
frontier05090: ofi+cxi://0x02dde600
frontier05504: ofi+cxi://0x030f8400
frontier05884: ofi+cxi://0x033f8000
frontier06241: ofi+cxi://0x036ce600
frontier06528: ofi+cxi://0x038f8400
frontier06648: ofi+cxi://0x039fc200
frontier06755: ofi+cxi://0x03acc600
frontier06883: ofi+cxi://0x03bcc600
frontier07267: ofi+cxi://0x03ecc600
frontier07417: ofi+cxi://0x03fea000
frontier07549: ofi+cxi://0x040ea400
frontier07657: ofi+cxi://0x041ca000
frontier07802: ofi+cxi://0x042fa000
frontier07905: ofi+cxi://0x043ce600
frontier08291: ofi+cxi://0x046cc600
frontier08418: ofi+cxi://0x047de600
frontier08534: ofi+cxi://0x048be200
frontier08690: ofi+cxi://0x049fe600
frontier08795: ofi+cxi://0x04aa8000
frontier09059: ofi+cxi://0x04ccc600
frontier09213: ofi+cxi://0x050ea400
frontier09304: ofi+cxi://0x051bc200
frontier09431: ofi+cxi://0x052ac200
