frontier05117: ofi+cxi://0x02dea400
frontier05120: ofi+cxi://0x02df8400
frontier05246: ofi+cxi://0x02efa400
frontier05375: ofi+cxi://0x02fe8400
frontier05376: ofi+cxi://0x02ff8400
frontier05500: ofi+cxi://0x030f8000
frontier05630: ofi+cxi://0x031fa400
frontier05631: ofi+cxi://0x031e8400
frontier05754: ofi+cxi://0x032fa000
frontier05755: ofi+cxi://0x032e8000
frontier05756: ofi+cxi://0x032f8000
frontier05885: ofi+cxi://0x033ea400
frontier06009: ofi+cxi://0x034ea000
frontier06137: ofi+cxi://0x035ea000
frontier06138: ofi+cxi://0x035fa000
frontier06263: ofi+cxi://0x036ec200
frontier06264: ofi+cxi://0x036fc200
frontier06265: ofi+cxi://0x036ea000
frontier06392: ofi+cxi://0x037fc200
frontier06393: ofi+cxi://0x037ea000
frontier06520: ofi+cxi://0x038fc200
frontier06521: ofi+cxi://0x038ea000
frontier06646: ofi+cxi://0x039fe200
frontier06647: ofi+cxi://0x039ec200
frontier06648: ofi+cxi://0x039fc200
frontier06772: ofi+cxi://0x03afc600
frontier06773: ofi+cxi://0x03aee200
frontier06774: ofi+cxi://0x03afe200
frontier06902: ofi+cxi://0x03bfe200
frontier06903: ofi+cxi://0x03bec200
frontier07007: ofi+cxi://0x03ca8400
frontier07010: ofi+cxi://0x03cde600
frontier07166: ofi+cxi://0x03dfa400
frontier07167: ofi+cxi://0x03de8400
frontier07286: ofi+cxi://0x03efe200
frontier07288: ofi+cxi://0x03efc200
frontier07413: ofi+cxi://0x03fee200
frontier07414: ofi+cxi://0x03ffe200
frontier07533: ofi+cxi://0x040ca400
frontier07534: ofi+cxi://0x040da400
frontier07789: ofi+cxi://0x042ca400
frontier07794: ofi+cxi://0x042fe600
frontier07924: ofi+cxi://0x043fc600
frontier07925: ofi+cxi://0x043ee200
frontier08048: ofi+cxi://0x044d8400
frontier08052: ofi+cxi://0x044fc600
frontier08305: ofi+cxi://0x046ee600
frontier08306: ofi+cxi://0x046fe600
frontier08429: ofi+cxi://0x047ca400
frontier08430: ofi+cxi://0x047da400
frontier08562: ofi+cxi://0x048fe600
frontier08563: ofi+cxi://0x048ec600
frontier08686: ofi+cxi://0x049da400
frontier08689: ofi+cxi://0x049ee600
frontier08956: ofi+cxi://0x04bf8000
frontier08957: ofi+cxi://0x04bea400
frontier09075: ofi+cxi://0x04cec600
frontier09076: ofi+cxi://0x04cfc600
frontier09205: ofi+cxi://0x050ee200
frontier09206: ofi+cxi://0x050fe200
frontier09325: ofi+cxi://0x051ca400
frontier09326: ofi+cxi://0x051da400
frontier09455: ofi+cxi://0x052c8400
frontier09457: ofi+cxi://0x052ee600
